text,label
"Я точно не мафия, но я не уверен в других.",lie
"Я проверял его ночью, он мирный.",truth
"Почему ты на меня наезжаешь? Подозрительно!",lie
"Сегодня ночью я видел, как убили комиссара.",truth
"Я даже не знаю, что сказать... просто верьте мне!",lie
"Я уверен, что этот игрок мафия!",truth
"Я с самого начала говорил, что это не я!",lie
"Он точно мирный, я проверял его ночью.",truth
"Не знаю, что происходит, но я не мафия!",lie
"Я не доверяю этому игроку, он много молчит.",truth
"Ты подозрительный, что ты скрываешь?",lie
"Я видел, как этот игрок на прошлой ночи делал что-то странное.",truth
"Ты меня обвиняешь, значит ты мафия!",lie
"Не знаю, кто мафия, но мне кажется, что он мирный.",truth
"Ты на меня смотришь как на мафию, а ведь это не я!",lie
"Я не могу точно сказать, кто мафия, но мне кажется, что он.",truth
"Мне кажется, что он что-то скрывает. Почему ты не хочешь говорить?",lie
"Я честно проверил его, он мирный.",truth
"Если я был бы мафией, я бы точно не сказал это!",lie
"Он всегда был честным, и я его поддерживаю.",truth
"Мне кажется, что он уже обвинил несколько мирных игроков.",lie
"Я ничего не скрываю, просто верьте мне!",truth
"Он слишком уверен, что он не мафия, это странно.",lie
"Этот игрок явно что-то скрывает, я его проверил ночью.",truth
"Я знаю, кто мафия, и это не я!",lie
"Все, что я говорю, правда, это не я!",truth
"Я знаю, кто мафия, но не могу сказать, кто.",lie
"Это игра, я не могу быть уверен, но мне кажется, что он мирный.",truth
"Почему ты на меня наезжаешь? Это не я!",lie
"Я уверен, что он мирный, потому что проверил его.",truth
"Твои слова не убедительны, ты явно что-то скрываешь.",lie
"Мафия точно в другом игроке, это не я!",truth
"Он слишком агрессивно меня защищает, это подозрительно.",lie
"Я знаю, кто мафия, но не буду говорить.",truth
"Не верь ему, он просто старается скрыться за ложью!",lie
"Ты пытаешься сделать меня мафией, но это не так!",truth
"Почему ты так нервничаешь? Ты же мафия!",lie
"Он меня обвиняет, значит, он точно мафия.",truth
"Я точно не мафия, но все равно подозреваю его.",lie
"Я не мафия, но если кто-то и виноват, то это он.",truth
"Ты на меня наезжаешь, но я не мафия.",lie
"Не может быть, чтобы это был я, я всегда говорю правду.",truth
"Ты пытаешься меня запутать, чтобы скрыть свою мафиозность.",lie
"Он всегда был мирным игроком, и я в это верю.",truth
